Atomic Number,Name,Symbol,† Atomic Weight,Atomic Weight Estimated,Atomic Weight Display,† Phase at STP,Type,Group,Group 2,Period,† Electron Configuration,Ground-state Level,† Ionization Energy (eV),* Melting Point (°C),* Boiling Point (°C),Crystal Structure,Atomic Radius (display),Metallic Radius (pm),* Covalent radius (pm),* Atomic Radius (calculated)  (pm),"* Van der Waals Radius, (pm)",* Electro-negativity (Pauling),* Density (g/cm3),* Electron Affinity (kJ/mol),"* Thermal Conductivity, W/(m K)",* Electrical Resistivity (Ωm),* CAS Number,Possible Oxidation States,Discoverer,Discovery (Year)
101,Mendelevium,Md,258,x,(258),Synthetic,Rare Earth Metal,102,Actinides,7,[Rn] 5f13 7s2,2F°7/2,6.58,827,#N/A,,,,#N/A,#N/A,#N/A,1.3,#N/A,#N/A,#N/A,#N/A,CAS7440-11-1,"+2,3","Stanley G. Thompson, Glenn T. Seaborg, Bernard G. Harvey, Gregory R. Choppin, Albert Ghiorso",1955
102,Nobelium,No,259,x,(259),Synthetic,Rare Earth Metal,102,Actinides,7,[Rn] 5f14 7s2,1S0,6.65,827,#N/A,,,,#N/A,#N/A,#N/A,1.3,#N/A,#N/A,#N/A,#N/A,CAS10028-14-5,"+2,3","Albert Ghiorso, Glenn T. Seaborg, Torbørn Sikkeland, John R. Walton",1958
103,Lawrencium,Lr,262,x,(262),Synthetic,Rare Earth Metal,102,Actinides,7,[Rn] 5f14 7s2 7p ?,2P°1/2 ?,4.9 ?,1627,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS22537-19-5,+3,"Albert Ghiorso, Torbjørn Sikkeland, Almon E. Larsh, Robert M. Latimer",1961
104,Rutherfordium,Rf,261,x,(261),Synthetic,Transition Metal,4,IVB,7,[Rn] 5f14 6d2 7s2 ?,3F2 ?,6.0 ?,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS53850-36-5,+4,"Scientists at Dubna, Russia (1964)/Albert Ghiorso et. al. (1969)",1964
105,Dubnium,Db,262,x,(262),Synthetic,Transition Metal,5,VB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS53850-35-4,,"Scientists at Dubna, Russia (1967)/Lawrence Berkeley Laboratory (1970)",1967
106,Seaborgium,Sg,266,x,(266),Synthetic,Transition Metal,6,VIB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54038-81-2,,Albert Ghiorso et. al.,1974
107,Bohrium,Bh,264,x,(264),Synthetic,Transition Metal,7,VIIB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54037-14-8,,"Scientists at Dubna, Russia",1976
108,Hassium,Hs,277,x,(277),Synthetic,Transition Metal,8,VIIIB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54037-57-9,,"Armbruster, Paula & Muenzenberg, Dr. Gottfried",1984
109,Meitnerium,Mt,268,x,(268),Synthetic,Transition Metal,9,VIIIB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54038-01-6,,"Armbruster, Paula & Muenzenberg, Dr. Gottfried",1982
110,Darmstadtium,Ds,281,x,(281),Synthetic,Transition Metal,10,VIIIB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54083-77-1,,"Armbruster, Paula & Muenzenberg, Dr. Gottfried",1994
111,Roentgenium,Rg,272,x,(272),Synthetic,Transition Metal,11,IB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54386-24-2,,"Hofmann, Sigurd et. al.",1994
112,Copernicium,Cn,285,x,(285),Synthetic,Transition Metal,12,IIB,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54084-26-3,,"Armbruster, Paula & Muenzenberg, Dr. Gottfried",1996
113,Ununtrium,Uut,#N/A,,#N/A,Synthetic,Transition Metal,13,IIIA,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54084-70-7,,Y. T. Oganessian et. al.,2004
114,Ununquadium,Uuq,289,x,(289),Synthetic,Transition Metal,14,IVA,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54085-16-4,,"Scientists at Dubna, Russia",1998
115,Ununpentium,Uup,#N/A,,#N/A,Synthetic,Transition Metal,,,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54085-64-2,,Y. T. Oganessian et. al.,2004
116,Ununhexium,Uuh,292,x,(292),Synthetic,Transition Metal,16,VIA,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54100-71-9,,"Scientists at Dubna, Russia",2001
117,Ununseptium,Uus,#N/A,,#N/A,Synthetic,Transition Metal,,,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS87658-56-8,,Yet to be produced,NA
118,Ununoctium,Uuo,#N/A,,#N/A,Synthetic,Transition Metal,,,7,, ,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CAS54144-19-3,,Y. T. Oganessian et. al.,2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,† NIST.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Mathematica (references.wolfram.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Various including:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://education.jlab.org/qa/discover_ele.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.lenntech.com/periodic-chart-elements/inventor-surname.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.sciencegeek.net/tables/lbltable.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://ptable.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://en.wikipedia.org/wiki/Atomic_radii_of_the_elements_(data_page),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://environmentalchemistry.com/yogi/periodic/crystal.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://www.periodictable.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
